no,age1,age2,price,total,price_now,insurce,ptc,increase
1,49,17,"¥1,000,000 ","¥1,000,000 ","¥162,803 ","¥1,000,000 ",--,
2,50,18,"¥1,000,000 ","¥2,000,000 ","¥434,415 ","¥2,000,000 ",166.80%,
3,51,19,"¥1,000,000 ","¥3,000,000 ","¥1,739,296 ","¥4,800,000 ",300.40%,
4,52,20,¥0 ,"¥3,000,000 ","¥2,960,185 ","¥4,800,000 ",70.20%,
5,53,21,¥0 ,"¥3,000,000 ","¥3,119,444 ","¥4,800,000 ",5.40%,
6,54,22,¥0 ,"¥3,000,000 ","¥3,212,708 ","¥4,800,000 ",3.00%,3.11%
7,55,23,¥0 ,"¥3,000,000 ","¥3,308,699 ","¥4,800,000 ",3.00%,3.20%
8,56,24,¥0 ,"¥3,000,000 ","¥3,407,690 ","¥4,800,000 ",3.00%,3.30%
9,57,25,¥0 ,"¥3,000,000 ","¥3,509,681 ","¥4,800,000 ",3.00%,3.40%
10,58,26,¥0 ,"¥3,000,000 ","¥3,614,671 ","¥4,800,000 ",3.00%,3.50%
…,…,…,¥0 ,"¥3,000,000 ","¥4,714,208 ","¥4,800,000 ",…,
20,68,36,¥0 ,"¥3,000,000 ","¥4,855,468 ","¥4,855,468 ",3.00%,4.71%
30,78,46,¥0 ,"¥3,000,000 ","¥6,525,498 ","¥6,525,498 ",3.00%,6.34%
40,88,56,¥0 ,"¥3,000,000 ","¥8,769,566 ","¥8,769,566 ",3.00%,8.52%
50,98,66,¥0 ,"¥3,000,000 ","¥11,785,383 ","¥11,785,383 ",3.00%,11.44%
60,108,76,¥0 ,"¥3,000,000 ","¥15,838,560 ","¥15,838,560 ",3.00%,15.38%
70,,86,¥0 ,"¥3,000,000 ","¥21,284,429 ","¥21,284,429 ",3.00%,20.66%
80,,96,¥0 ,"¥3,000,000 ","¥28,600,764 ","¥28,600,764 ",3.00%,27.75%
89,,105,¥0 ,"¥3,000,000 ","¥37,307,881 ","¥37,307,881 ",3.00%,36.18%